모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
재규어 XF D200 AWD,재규어,경유,1998,자동8,13,3등급,146,일반형
아반떼 N 2.0 T-GDI 6MT 19인치,현대,휘발유,1998,수동6,10.7,4등급,158,일반형
아반떼 N 2.0 T-GDI 8DCT 19인치,현대,휘발유,1998,자동8,10.4,4등급,164,일반형
Mercedes-Benz S500 4MATIC,벤츠,휘발유,2999,자동9,9.6,4등급,179,일반형
재규어 F-PACE D200,랜드로버,경유,1998,자동8,12.8,3등급,149,다목적형
짚 랭글러 사하라 4xe,크라이슬러,전기+휘발유,1995,자동8,2.4 / 9.2,PHEV,59,다목적형
G80 2.2디젤 AWD 19인치 (SP),현대,경유,2151,자동8,12.7,3등급,152,일반형
G80 2.2디젤 2WD 19인치 (SP),현대,경유,2151,자동8,13.9,2등급,137,일반형
A5 Coupe 45 TFSI quattro,아우디,휘발유,1984,자동7,10.9,4등급,156,일반형
A4 45 TFSI quattro,아우디,휘발유,1984,자동7,11,4등급,156,일반형
A5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10.4,4등급,165,일반형
A5 Cabriolet 45 TFSI quattro,아우디,휘발유,1984,자동7,10.4,4등급,165,일반형
G80 3.5T-GDI AWD 20인치 (SP 다이내믹),현대,휘발유,3470,자동8,8.3,5등급,207,일반형
G80 3.5T-GDI AWD 20인치 (SP),현대,휘발유,3470,자동8,8.3,5등급,206,일반형
G80 3.5T-GDI AWD 20인치 (22MY),현대,휘발유,3470,자동8,8.3,5등급,206,일반형
G80 3.5T-GDI 2WD 20인치 (SP 다이내믹),현대,휘발유,3470,자동8,8.8,5등급,194,일반형
